exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2
th_1,950.323,950.323,950.323,950.323,0,Mbps,,,,,,
th_2,475.199,475.199,475.199,475.199,0,Mbps,475.195,475.195,475.195,475.195,0,Mbps
th_3,950.323,950.323,950.323,950.323,0,Mbps,,,,,,
th_4,475.199,475.199,475.199,475.199,0,Mbps,475.195,475.195,475.195,475.195,0,Mbps
th_5,475.199,475.199,475.199,475.199,0,Mbps,475.195,475.195,475.195,475.195,0,Mbps
afct_1,0.463644,0.463644,0.463644,0.463644,0,Seconds,,,,,,
afct_2,0.92707,0.92707,0.92707,0.92707,0,Seconds,0.927224,0.927224,0.927224,0.927224,0,Seconds
afct_3,0.463644,0.463644,0.463644,0.463644,0,Seconds,,,,,,
afct_4,0.92707,0.92707,0.92707,0.92707,0,Seconds,0.927224,0.927224,0.927224,0.927224,0,Seconds
afct_5,0.92707,0.92707,0.92707,0.92707,0,Seconds,0.927224,0.927224,0.927224,0.927224,0,Seconds
